                         tmax  tmin    af   rain    sun   asml        lat      long           gridRef
station         yyyy mm                                                                              
aberporth       1941 1    NaN   NaN   NaN   74.7    NaN  133.0  52.139000 -4.570000   224100E 252100N
                     3    6.4   0.5  14.0   37.6  140.2  133.0  52.139000 -4.570000   224100E 252100N
                     4   10.3   4.4   1.0   73.4  182.6  133.0  52.139000 -4.570000   224100E 252100N
                     5   12.1   7.3   0.0   52.3  176.0  133.0  52.139000 -4.570000   224100E 252100N
                     6   16.0   9.3   0.0   39.0  242.2  133.0  52.139000 -4.570000   224100E 252100N
                     7   17.0  11.4   0.0   53.8  149.0  133.0  52.139000 -4.570000   224100E 252100N
                     8   16.2  11.5   0.0   96.5  153.7  133.0  52.139000 -4.570000   224100E 252100N
                     9   15.0  10.4   0.0  130.8  102.1  133.0  52.139000 -4.570000   224100E 252100N
                     10  13.9   8.2   0.0   44.0  126.5  133.0  52.139000 -4.570000   224100E 252100N
                     11   8.9   4.6   0.0   72.3   43.9  133.0  52.139000 -4.570000   224100E 252100N
                     12   6.4   1.8   9.0   69.2   64.3  133.0  52.139000 -4.570000   224100E 252100N
                1963 1    1.3   3.5  26.0   17.3   98.5  133.0  52.139000 -4.570000   224100E 252100N
                     2    3.3   1.9  22.0   27.1  100.5  133.0  52.139000 -4.570000   224100E 252100N
                     3    8.9   3.9   2.0  109.9  106.4  133.0  52.139000 -4.570000   224100E 252100N
                     4   10.9   5.4   0.0   87.6  134.2  133.0  52.139000 -4.570000   224100E 252100N
                     5   12.6   7.1   0.0   52.8  183.5  133.0  52.139000 -4.570000   224100E 252100N
                     6   16.9  10.7   0.0   85.3  195.6  133.0  52.139000 -4.570000   224100E 252100N
                     7   17.3  11.4   0.0   36.3  153.1  133.0  52.139000 -4.570000   224100E 252100N
                     8   16.3  11.5   0.0   62.9  124.5  133.0  52.139000 -4.570000   224100E 252100N
                     9   15.8  10.3   0.0   50.3  133.7  133.0  52.139000 -4.570000   224100E 252100N
                     10  13.8   9.0   0.0   54.7   70.8  133.0  52.139000 -4.570000   224100E 252100N
                     11  11.1   6.9   0.0  187.9   60.1  133.0  52.139000 -4.570000   224100E 252100N
                     12   6.2   1.2  12.0   24.1   80.4  133.0  52.139000 -4.570000   224100E 252100N
